City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Miranda,3.2499,-76.2281,77.13,64,100,6.55,CO,1628124751
Skellefteå,64.7507,20.9528,52.16,71,94,4.61,SE,1628124752
Jashpurnagar,22.9,84.15,73.38,86,100,2.21,IN,1628124753
Lucapa,-8.4192,20.7447,65.73,29,0,4.79,AO,1628124753
Shishou,29.7226,112.419,85.44,78,0,10.89,CN,1628124754
Faanui,-16.4833,-151.75,79.77,71,66,14.56,PF,1628124755
Ontario,34.0633,-117.6509,113.05,36,20,1.99,US,1628124755
Berea,41.3662,-81.8543,76.69,64,1,8.05,US,1628124524
Katsuura,35.1333,140.3,86.14,70,0,8.3,JP,1628124757
Rocha,-34.4833,-54.3333,46.45,95,4,5.68,UY,1628124757
Bariloche,-41.1456,-71.3082,48.43,55,0,6.91,AR,1628124758
Lagoa,39.05,-27.9833,71.91,91,0,11.65,PT,1628124759
Faya,18.3851,42.4509,64.51,71,64,4.79,SA,1628124759
Bontang,0.1333,117.5,80.67,83,24,8.48,ID,1628124760
Loralai,30.3705,68.598,75.97,54,6,3.78,PK,1628124761
Kawhia,-38.0651,174.8183,55.74,88,100,7.7,NZ,1628124761
Champerico,14.3,-91.9167,82.35,79,100,3.27,GT,1628124762
Agüimes,27.9054,-15.4461,68.63,78,20,28.77,ES,1628124763
Tutóia,-2.7619,-42.2744,78.24,83,60,8.41,BR,1628124763
Halifax,44.6453,-63.5724,67.08,81,75,6.91,CA,1628124678
Ransang,8.9603,117.5828,86.61,69,70,11.77,PH,1628124764
Lata,40.1629,-8.3327,65.05,97,12,2.62,PT,1628124766
Souillac,-20.5167,57.5167,68.38,68,40,14.97,MU,1628124767
Manokwari,-0.8667,134.0833,80.94,75,100,7.38,ID,1628124767
Indramayu,-6.3264,108.32,81.39,75,34,9.08,ID,1628124639
Nago,26.5881,127.9761,81.03,91,100,3.2,JP,1628124768
Lufilufi,-13.8745,-171.5986,85.78,76,84,11.23,WS,1628124769
Orangeburg,33.4918,-80.8557,78.71,82,90,3.44,US,1628124769
Muros,42.7762,-9.0603,64.9,91,13,5.99,ES,1628124770
Ekibastuz,51.6667,75.3667,64.87,65,0,10.87,KZ,1628124661
Strezhevoy,60.7333,77.5889,58.98,85,12,4.09,RU,1628124771
Naze,28.3667,129.4833,83.32,86,19,21.25,JP,1628124772
Puerto Escondido,15.85,-97.0667,82.35,81,83,6.24,MX,1628124772
Panórama,40.5878,23.0315,81.68,48,0,1.01,GR,1628124773
Menongue,-14.6585,17.691,51.46,38,0,3.62,AO,1628124774
Malanje,-9.5402,16.341,64.62,48,0,3.49,AO,1628124774
Ust-Nera,64.5667,143.2,56.79,39,100,8.72,RU,1628124775
Acajutla,13.5928,-89.8275,80.42,82,92,6.78,SV,1628124776
Kembé,4.6228,21.8865,68.88,95,96,1.57,CF,1628124777
Rawson,-43.3002,-65.1023,61.56,35,9,32.12,AR,1628124778
Sarangani,5.4033,125.4636,84.49,73,100,6.78,PH,1628124778
Burē,10.7,37.0667,53.91,95,88,3.13,ET,1628124779
Surgut,61.25,73.4167,60.98,100,75,2.24,RU,1628124780
Harbour Breton,47.4833,-55.7983,63.0,88,100,11.79,CA,1628124780
Ziniaré,12.5822,-1.2983,79.57,70,99,6.38,BF,1628124781
Okhotsk,59.3833,143.3,60.12,68,95,9.46,RU,1628124782
Megion,61.0296,76.1136,59.02,88,33,5.08,RU,1628124782
Rosetta,31.4044,30.4164,80.42,57,0,2.33,EG,1628124783
Kandé,9.9578,1.0447,75.54,92,100,4.16,TG,1628124784
Aalen,48.8378,10.0933,58.98,94,100,3.62,DE,1628124784
Necochea,-38.5473,-58.7368,49.08,68,0,10.74,AR,1628124785
Liverpool,53.4106,-2.9779,59.83,80,0,3.0,GB,1628124591
Valdivia,-39.8142,-73.2459,48.33,99,100,2.98,CL,1628124787
Flinders,-34.5833,150.8552,64.18,52,28,7.0,AU,1628124787
Marsaxlokk,35.8419,14.5431,86.07,70,0,12.66,MT,1628124788
Alegrete,-29.7831,-55.7919,53.37,92,100,9.37,BR,1628124675
Tasiilaq,65.6145,-37.6368,40.17,79,99,1.05,GL,1628124789
São Filipe,14.8961,-24.4956,77.22,89,100,2.46,CV,1628124790
Eagle Pass,28.7091,-100.4995,87.28,58,100,4.99,US,1628124790
Bada,51.392,109.8717,66.69,59,16,6.29,RU,1628124791
Iberia,29.9502,-91.7507,86.0,62,1,11.5,US,1628124697
Saldanha,-33.0117,17.9442,48.25,94,28,6.26,ZA,1628124792
Sotouboua,8.5667,0.9833,77.04,96,100,3.62,TG,1628124793
Broome,42.2506,-75.833,67.82,72,15,3.0,US,1628124794
Arlit,18.7369,7.3853,89.89,41,28,13.42,NE,1628124794
Kindu,-2.95,25.95,72.72,57,10,0.94,CD,1628124795
Jijiga,9.35,42.8,63.25,69,94,16.75,ET,1628124796
Mayo,38.8876,-76.5119,76.21,73,1,4.0,US,1628124796
Ostrovnoy,68.0531,39.5131,49.28,90,100,22.46,RU,1628124797
Den Helder,52.9599,4.7593,61.99,89,4,5.99,NL,1628124583
Kruisfontein,-34.0033,24.7314,58.89,96,97,6.67,ZA,1628124798
The Valley,18.217,-63.0578,82.26,73,2,17.85,AI,1628124799
La Macarena,2.1837,-73.7849,70.99,92,91,1.74,CO,1628124800
Port Macquarie,-31.4333,152.9167,64.89,43,0,13.18,AU,1628124800
Finkenstein,46.5623,13.8709,64.13,98,100,1.32,AT,1628124801
Aykhal,66.0,111.5,64.51,36,8,14.74,RU,1628124801
Leh,34.1667,77.5833,58.86,58,8,4.63,IN,1628124802
Chegdomyn,51.1167,133.0167,64.36,97,100,3.51,RU,1628124803
Zhob,31.3411,69.4481,79.23,51,59,2.28,PK,1628124803
Padang,-0.9492,100.3543,75.25,79,100,2.75,ID,1628124804
Shimoda,34.6667,138.95,82.76,69,3,9.91,JP,1628124805
Samarai,-10.6167,150.6667,78.57,78,94,15.93,PG,1628124805
Mahibadhoo,3.7833,72.9667,81.54,76,22,4.52,MV,1628124806
Neiafu,-18.65,-173.9833,75.88,73,75,4.61,TO,1628124806
Caniço,32.6333,-16.85,74.03,78,40,17.27,PT,1628124807
Esso,55.9333,158.7,43.52,90,100,6.11,RU,1628124808
Biak,-0.9131,122.8766,80.47,72,84,5.55,ID,1628124808
Broken Hill,-31.95,141.4333,53.31,66,0,13.8,AU,1628124809
Shuyskoye,59.3736,41.0305,47.48,77,29,2.77,RU,1628124810
Fairbanks,64.8378,-147.7164,82.74,43,1,1.01,US,1628124810
Ciudad Bolivar,8.1222,-63.5497,79.93,72,75,3.11,VE,1628124811
Chamba,32.5667,76.1333,73.98,88,6,3.27,IN,1628124812
Anzio,41.4853,12.6179,78.33,99,58,5.44,IT,1628124812
Jasper,37.2001,-94.3502,79.02,72,7,1.01,US,1628124813
Merritt Island,28.5392,-80.672,78.89,84,20,11.5,US,1628124813
Macamic,48.7502,-78.9996,73.63,77,0,7.47,CA,1628124814
Bembibre,42.6177,-6.4155,61.25,83,4,2.71,ES,1628124815
Metsavan,41.2016,44.2288,65.64,52,0,3.36,AM,1628124815
Manggar,-2.8833,108.2667,82.89,75,100,11.16,ID,1628124816
Alta Floresta,-9.8756,-56.0861,73.63,37,3,4.05,BR,1628124817
Roald,62.5833,6.1333,57.33,82,100,5.75,NO,1628124818
Libertador General San Martín,-23.8064,-64.7876,61.97,52,69,3.0,AR,1628124818
Istok,42.7808,20.4875,65.32,51,6,1.63,XK,1628124819
Lamar,33.6668,-95.5836,87.71,48,20,8.05,US,1628124820
Smolenka,52.1352,113.4974,62.67,82,16,6.71,RU,1628124820
Takoradze,4.8845,-1.7554,75.38,90,45,7.96,GH,1628124821
Khudumelapye,-23.8833,24.75,52.21,43,0,6.76,BW,1628124822
Shaoyang,27.2315,111.4525,85.51,69,8,8.1,CN,1628124822
Puerto Peñasco,31.3167,-113.5333,89.91,83,0,7.0,MX,1628124823
La Palma,33.8464,-118.0467,108.03,55,1,8.05,US,1628124824
Vila Velha,-20.3297,-40.2925,69.75,78,40,11.5,BR,1628124824
Aklavik,68.2191,-135.0107,70.63,34,0,13.09,CA,1628124825
Labuhan,-6.8844,112.2051,80.38,76,12,5.39,ID,1628124826
Freeport,40.6576,-73.5832,72.25,73,100,1.99,US,1628124826
Haines Junction,60.7522,-137.5108,71.55,46,100,3.44,CA,1628124827
Ilām,26.9167,87.9167,71.11,83,100,4.65,NP,1628124828
Vanavara,60.34,102.2797,69.19,48,98,5.73,RU,1628124829
Aswān,24.0934,32.907,92.5,27,0,6.91,EG,1628124829
Gijón,43.5357,-5.6615,64.83,88,100,4.0,ES,1628124753
Carman,49.4992,-98.0016,77.92,64,100,14.97,CA,1628124830
Tecolutla,20.4833,-97.0167,83.64,77,100,8.88,MX,1628124831
Businga,3.3333,20.8833,70.72,93,22,2.19,CD,1628124833
Santa Isabel Rio Negro,-0.4139,-65.0192,70.84,96,100,2.64,BR,1628124833
Havelock,34.8791,-76.9013,74.93,95,90,3.0,US,1628124834
Āgaro,7.85,36.65,57.51,97,76,2.08,ET,1628124834
Comarapa,-17.9,-64.4833,48.34,76,100,2.15,BO,1628124835
Jati,24.3539,68.2671,81.61,72,90,16.75,PK,1628124836
Departamento de Maldonado,-34.6667,-54.9167,47.59,91,5,6.22,UY,1628124836
Saskatoon,52.1168,-106.6345,76.95,58,75,7.0,CA,1628124729
Salinópolis,-0.6136,-47.3561,79.43,81,100,9.75,BR,1628124838
Poroshkovo,48.6683,22.7533,64.02,94,100,3.49,UA,1628124839
Islamkot,24.6997,70.177,80.58,74,8,11.92,PK,1628124839
Pacific Grove,36.6177,-121.9166,84.6,84,75,5.01,US,1628124630
Dunedin,-45.8742,170.5036,49.8,66,100,15.99,NZ,1628124827
Manitouwadge,49.1215,-85.8403,66.92,67,80,8.41,CA,1628124841
Deputatsky,69.3,139.9,49.89,54,90,15.01,RU,1628124842
Bereda,43.2686,-7.5406,61.92,100,67,3.15,ES,1628124842
Ibiá,-19.4783,-46.5389,63.86,55,100,10.18,BR,1628124843
Kyabé,9.4515,18.9449,72.46,92,100,3.06,TD,1628124844
Rewāri,28.1833,76.6167,88.0,79,46,4.88,IN,1628124844
Assiut,27.181,31.1837,89.78,16,0,2.62,EG,1628124845
Garissa,-0.4536,39.6401,71.17,83,48,16.35,KE,1628124845
Tete,-16.1564,33.5867,60.89,72,0,3.44,MZ,1628124846
Plettenberg Bay,-34.0527,23.3716,58.71,92,100,3.22,ZA,1628124847
Mahabalipuram,12.6264,80.1722,84.25,63,100,14.14,IN,1628124847
Maragogi,-9.0122,-35.2225,71.92,90,82,9.24,BR,1628124848
Hamilton,39.1834,-84.5333,75.97,69,10,4.32,US,1628124792
Touros,-5.1989,-35.4608,72.5,83,73,14.16,BR,1628124849
Ugep,5.8086,8.0812,72.37,98,100,3.89,NG,1628124850
Jakar,27.5492,90.7525,60.8,83,97,2.01,BT,1628124850
Colac,-38.3333,143.5833,53.15,92,100,10.16,AU,1628124851
Garden City,42.3256,-83.331,79.05,70,75,5.75,US,1628124758
Raduzhny,62.0961,77.475,61.57,81,10,3.78,RU,1628124853
Raudeberg,61.9875,5.1352,56.19,84,100,11.3,NO,1628124853
North Platte,41.1239,-100.7654,79.0,60,90,3.0,US,1628124737
Kabinda,-6.1333,24.4833,68.52,38,0,5.14,CD,1628124854
Shīeli,44.1667,66.75,78.96,27,2,8.97,KZ,1628124855
Lincoln,40.8,-96.667,82.78,58,20,5.99,US,1628124634
Myre,69.1036,15.9492,51.75,92,100,16.22,NO,1628124856
Acaraú,-2.8856,-40.12,78.71,80,98,11.7,BR,1628124857
Davenda,53.5556,119.317,58.87,98,100,3.15,RU,1628124857
Esim,4.8699,-2.2405,75.67,88,42,7.72,GH,1628124858
Baykit,61.67,96.37,73.22,51,67,3.09,RU,1628124859
Litovko,49.2361,135.1742,60.89,86,100,5.66,RU,1628124859
Bay City,43.5945,-83.8889,77.11,74,1,3.44,US,1628124860
Pundaguitan,6.3711,126.1689,84.15,74,99,12.35,PH,1628124860
Norman Wells,65.282,-126.8329,62.64,48,75,12.66,CA,1628124861
Madīnat Sittah Uktūbar,29.8167,31.05,87.4,33,0,12.93,EG,1628124862
Tazovsky,67.4667,78.7,60.66,80,0,5.1,RU,1628124862
Nara,34.6851,135.8049,93.25,54,0,3.6,JP,1628124863
Dalbandin,28.8947,64.4101,84.43,14,100,8.43,PK,1628124864
Rio Grande,-32.035,-52.0986,52.95,93,58,8.08,BR,1628124681
Tura,25.5198,90.2201,77.36,93,100,1.54,IN,1628124865
Kholm-Zhirkovskiy,55.5189,33.4731,57.45,69,94,4.92,RU,1628124865
Huallanca,-9.8993,-76.9417,42.75,79,54,4.76,PE,1628124866
Sola,-13.8833,167.55,75.87,100,90,0.0,VU,1628124867
Acapulco de Juárez,16.8634,-99.8901,80.28,81,100,1.99,MX,1628124868
Isangel,-19.55,169.2667,80.71,50,20,4.61,VU,1628124868
Fereydūnkenār,36.6864,52.5225,73.71,53,12,1.77,IR,1628124869
Zhezkazgan,47.8043,67.7144,75.99,43,5,3.89,KZ,1628124870
Lázaro Cárdenas,17.9583,-102.2,81.72,83,100,1.28,MX,1628124870
Barra do Garças,-15.89,-52.2567,71.98,30,100,3.71,BR,1628124871
Baruun-Urt,46.6806,113.2792,59.04,77,100,6.26,MN,1628124872
Sioux Lookout,50.1001,-91.917,78.87,47,90,6.91,CA,1628124873
Puksoozero,62.5903,40.6066,43.3,91,2,5.39,RU,1628124873
Waitati,-45.75,170.5667,49.8,66,100,12.57,NZ,1628124874
Camopi,3.1655,-52.3158,71.55,99,100,1.92,GF,1628124874
Akoupé,6.39,-3.9003,71.4,98,84,4.07,CI,1628124875
Bendigo,-36.7667,144.2833,56.86,67,100,5.01,AU,1628124633
Agirish,61.9247,63.0231,63.1,88,99,6.22,RU,1628124876
Lewisporte,49.2499,-55.0482,65.91,74,100,5.84,CA,1628124877
Les Cayes,18.2,-73.75,78.01,81,34,3.24,HT,1628124878
San José de las Lajas,22.9614,-82.1511,77.92,86,85,6.15,CU,1628124879
College,64.8569,-147.8028,82.72,43,1,1.01,US,1628124835
Estación Coahuila,32.1939,-115.0017,117.7,30,0,19.51,MX,1628124880
Shimanovsk,52.0,127.7,64.53,98,99,5.26,RU,1628124880
Batouri,4.4333,14.3667,67.08,94,15,2.89,CM,1628124881
Coquimbo,-29.9533,-71.3436,55.13,87,20,3.44,CL,1628124882
Tifton,31.4505,-83.5085,78.76,84,1,0.0,US,1628124882
Beaver Dam,43.4578,-88.8373,78.04,57,1,0.0,US,1628124883
Parczew,51.6402,22.9006,59.61,94,53,2.48,PL,1628124884
Oleksandrivka,48.9634,32.2349,67.1,57,98,1.74,UA,1628124884
Zabid,14.1951,43.3152,86.13,63,58,5.61,YE,1628124885
Barra de Tecoanapa,16.5167,-98.75,81.36,79,100,2.24,MX,1628124886
Karratha,-20.7377,116.8463,70.77,23,56,29.15,AU,1628124887
Yatou,37.15,122.3833,82.96,73,1,10.67,CN,1628124887
Leshukonskoye,64.8989,45.7622,49.87,77,92,7.83,RU,1628124888
Oyama,36.3,139.8,91.81,52,0,2.73,JP,1628124889
Belomorsk,64.5232,34.7668,49.46,93,100,9.17,RU,1628124889
Burnie,-41.0667,145.9167,56.91,79,100,12.77,AU,1628124890
St. Marys,30.7305,-81.5465,79.02,69,90,6.91,US,1628124890
Pointe-Noire,-4.7761,11.8635,69.87,94,20,2.3,CG,1628124891
Nelson Bay,-32.7167,152.15,62.78,58,0,4.0,AU,1628124725
Mitsamiouli,-11.3847,43.2844,74.25,73,0,1.25,KM,1628124892
Malaya Purga,56.5567,53.0043,63.5,96,0,8.52,RU,1628124893
Road Town,18.4167,-64.6167,82.44,83,20,6.91,VG,1628124894
Kurumkan,54.3,110.3,68.27,58,21,2.48,RU,1628124895
Whitehorse,60.7161,-135.0538,72.37,46,90,12.66,CA,1628124839
Port Hardy,50.6996,-127.4199,78.98,57,75,2.3,CA,1628124896
Muzhi,65.3667,64.6667,62.22,73,91,6.44,RU,1628124896
Port Lincoln,-34.7333,135.8667,58.64,70,68,13.38,AU,1628124829
Barra,-11.0894,-43.1417,75.51,51,62,13.09,BR,1628124898
Takayama,36.1333,137.25,89.47,60,0,3.44,JP,1628124758
Saint-Augustin,51.226,-58.6502,60.46,66,0,4.38,CA,1628124899
Kilimatinde,-5.85,34.95,61.36,76,11,2.28,TZ,1628124899
Sabzawār,36.2126,57.6819,78.21,26,5,7.4,IR,1628124900
Sribne,50.6638,32.9187,63.3,60,100,2.39,UA,1628124901
Cherdyn',60.403,56.4787,62.69,98,100,1.72,RU,1628124901
Tandaltī,13.0167,31.8667,80.73,70,66,11.97,SD,1628124903
Nizwá,22.9333,57.5333,91.51,36,100,1.9,OM,1628124904
Bang Saphan,11.2126,99.5117,76.95,76,99,9.89,TH,1628124905
Severiano Melo,-5.7772,-37.9578,79.74,51,88,10.63,BR,1628124727
Mezen',65.8522,44.24,50.0,79,100,11.45,RU,1628124906
Tautira,-17.7333,-149.15,84.22,75,13,15.35,PF,1628124906
Sørland,67.667,12.6934,53.33,89,100,16.42,NO,1628124907
Cabedelo,-6.9811,-34.8339,70.47,89,25,12.84,BR,1628124907
Salalah,17.0151,54.0924,74.77,96,100,4.27,OM,1628124908
Victor Harbor,-35.5667,138.6167,57.47,80,71,10.71,AU,1628124909
Chebsara,59.2002,38.8356,54.16,55,100,2.19,RU,1628124910
Tortosa,40.8125,0.5216,75.18,82,20,3.53,ES,1628124910
Maraã,-1.8333,-65.3667,72.1,95,99,3.4,BR,1628124911
Ballina,-28.8667,153.5667,61.79,41,0,12.66,AU,1628124911
Hollins,37.3413,-79.9431,76.42,72,6,2.37,US,1628124655
Zhangjiakou,40.81,114.8794,76.51,42,68,4.5,CN,1628124913
Gornopravdinsk,60.05,69.9,60.73,80,0,1.57,RU,1628124914
Grandview,38.8858,-94.533,79.32,62,23,1.99,US,1628124914
Mogadishu,2.0371,45.3438,75.96,83,78,18.1,SO,1628124915
Zhangye,38.9342,100.4517,76.87,24,1,7.36,CN,1628124916
Bonavista,48.6499,-53.1147,64.4,76,100,1.34,CA,1628124917
Maués,-3.3836,-57.7186,79.0,66,66,2.08,BR,1628124730
Gazli,40.1333,63.45,85.12,19,4,11.65,UZ,1628124918
Antofagasta,-23.65,-70.4,58.28,62,23,2.46,CL,1628124918
Alekseyevka,50.6309,38.6903,62.19,64,52,3.67,RU,1628124919
Talnakh,69.4865,88.3972,74.12,49,6,3.42,RU,1628124920
Tocopilla,-22.092,-70.1979,62.67,57,0,2.28,CL,1628124713
Ust-Kuyga,70.0167,135.6,57.9,47,0,22.68,RU,1628124921
Yar-Sale,66.8333,70.8333,62.76,68,64,3.8,RU,1628124897
Batagay-Alyta,67.8006,130.4114,59.36,32,0,23.22,RU,1628124922
Luancheng,37.8792,114.6517,82.56,75,80,5.08,CN,1628124750
Nome,64.5011,-165.4064,76.15,60,11,14.67,US,1628124841
Teguise,29.0605,-13.564,68.22,78,0,17.27,ES,1628124924
Jardim,-21.4803,-56.1381,68.07,35,100,8.37,BR,1628124925
Havre-St-Pierre,50.2334,-63.5986,57.2,82,1,9.22,CA,1628124925
Avera,33.194,-82.5271,77.76,66,6,4.79,US,1628124926
Plátanos,37.6667,21.6167,85.57,36,0,4.29,GR,1628124927
Itacarambi,-15.1022,-44.0919,70.54,49,61,6.15,BR,1628124927
Allanridge,-27.7543,26.6438,47.8,44,0,4.59,ZA,1628124928
Bonthe,7.5264,-12.505,76.1,89,100,7.43,SL,1628124929
Alice Springs,-23.7,133.8833,54.95,44,0,12.66,AU,1628124929
Baculin,7.4525,126.5842,86.25,69,96,8.25,PH,1628124930
Laurel,39.0993,-76.8483,75.43,71,1,0.0,US,1628124931
Chengde,40.9725,117.9361,76.57,81,71,1.23,CN,1628124931
Ascension,30.2169,-90.9001,85.98,70,1,0.0,US,1628124932
Tamworth,52.634,-1.6959,60.49,80,100,1.99,GB,1628124895
Tuatapere,-46.1333,167.6833,49.82,58,100,1.39,NZ,1628124933
Bitung,1.4451,125.1824,83.25,75,99,12.1,ID,1628124934
Ylivieska,64.0833,24.55,56.32,77,97,5.73,FI,1628124935
Kutum,14.2,24.6667,75.0,67,100,9.04,SD,1628124935
Gweta,-20.1833,25.2333,56.37,40,0,8.46,BW,1628124936
Kamiiso,41.8167,140.65,79.18,94,40,6.91,JP,1628124937
Kaupanger,61.1845,7.2404,53.26,81,25,2.15,NO,1628124937
Tsiroanomandidy,-18.7667,46.0333,57.0,83,0,1.41,MG,1628124938
Wąbrzeźno,53.2799,18.9477,58.1,85,98,6.2,PL,1628124939
Camacha,33.0833,-16.3333,70.56,83,75,16.11,PT,1628124818
Kasimov,54.9411,41.3953,55.83,70,25,3.31,RU,1628124940
